name,t,date,p_up,actual_up,n_up
FAMAS | Crypsis (Factory New),38,2026-08-28,0.4,0,4
FAMAS | Crypsis (Factory New),39,2026-08-29,0.4,0,4
FAMAS | Crypsis (Factory New),41,2026-08-31,0.7,0,7
FAMAS | Crypsis (Factory New),42,2026-09-03,0.1,0,1
FAMAS | Crypsis (Factory New),44,2026-09-05,0.9,0,9
Five-SeveN | Hyper Beast (Factory New),30,2026-08-20,1.0,1,10
Five-SeveN | Hyper Beast (Factory New),32,2026-08-22,0.9,1,9
Five-SeveN | Hyper Beast (Factory New),33,2026-08-23,1.0,1,10
Five-SeveN | Hyper Beast (Factory New),35,2026-08-25,0.7,0,7
Five-SeveN | Hyper Beast (Factory New),36,2026-08-26,0.8,0,8
Five-SeveN | Hyper Beast (Factory New),38,2026-08-28,0.6,0,6
Five-SeveN | Hyper Beast (Factory New),39,2026-08-29,0.2,0,2
Five-SeveN | Hyper Beast (Factory New),41,2026-08-31,1.0,0,10
Five-SeveN | Hyper Beast (Factory New),42,2026-09-03,0.4,0,4
Five-SeveN | Hyper Beast (Factory New),44,2026-09-05,0.8,1,8
Five-SeveN | Urban Hazard (Field-Tested),30,2026-08-20,0.5,0,5
Five-SeveN | Urban Hazard (Field-Tested),32,2026-08-22,0.9,0,9
Five-SeveN | Urban Hazard (Field-Tested),33,2026-08-23,0.9,0,9
Five-SeveN | Urban Hazard (Field-Tested),35,2026-08-25,0.1,0,1
Five-SeveN | Urban Hazard (Field-Tested),36,2026-08-26,0.6,0,6
Five-SeveN | Urban Hazard (Field-Tested),38,2026-08-28,0.9,0,9
Five-SeveN | Urban Hazard (Field-Tested),39,2026-08-29,0.9,0,9
Five-SeveN | Urban Hazard (Field-Tested),41,2026-08-31,1.0,0,10
Five-SeveN | Urban Hazard (Field-Tested),42,2026-09-03,1.0,0,10
Five-SeveN | Urban Hazard (Field-Tested),44,2026-09-05,1.0,0,10
G3SG1 | Flux (Minimal Wear),30,2026-08-20,1.0,0,10
G3SG1 | Flux (Minimal Wear),32,2026-08-22,1.0,1,10
